Geneid	SRR1573504	SRR1573505	SRR1573506	SRR1573507	SRR1573508	SRR1573509	SRR1573510	SRR1573511	SRR1573512	SRR1573513	SRR1573514	SRR1573515	SRR1573516	SRR1573517	SRR1573518	SRR1573519	SRR1573520	SRR1573521	SRR1573522	SRR1573523	SRR1573524	SRR1573525	SRR1573526	SRR1573527
gene-LOC103630653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100381534	347	166	275	302	163	561	128	91	139	328	94	191	68	52	295	127	46	78	90	29	143	2	58	99
gene-LOC100194370	2225	818	750	1810	650	2305	632	592	489	1173	506	630	340	373	1301	742	213	313	374	82	1098	201	203	372
gene-LOC100194192	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
gene-LOC100273289	1782	798	697	1875	642	2711	707	1108	615	1639	941	1075	492	486	2505	977	418	354	296	227	862	398	497	803
gene-LOC103630678	45	55	62	64	38	45	54	24	33	42	18	8	6	17	65	53	0	4	17	6	24	0	36	20
gene-TRNAN-GUU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100037826	15556	6335	6754	18558	8551	33438	5416	5553	3598	13479	5337	7787	4769	4652	15376	20368	5221	6445	8853	3615	24532	4505	10865	8882
gene-LOC100422791	23856	16562	17885	12082	10293	25557	10101	6371	5377	17408	10096	21715	15388	14492	20102	28238	7401	9787	9680	2067	13658	3738	10099	6373
gene-LOC100192899	1318	371	441	1344	507	1273	290	699	283	359	315	450	275	207	855	360	3	158	118	86	469	47	342	146
gene-LOC103630668	340	127	157	242	45	489	90	265	104	362	205	326	123	185	475	233	0	37	1	1	0	25	18	43
gene-LOC100193669	289	138	211	423	300	669	155	159	123	349	209	286	172	136	435	98	4	47	0	19	120	56	98	84
gene-LOC100275682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100501456	2	3	0	0	0	2	0	0	0	2	0	0	0	0	18	0	0	42	0	0	0	0	0	0
gene-LOC100276353	2812	1037	1344	3785	1174	3364	885	828	817	2602	600	1243	1054	519	1979	2077	300	815	725	213	880	409	1523	1001
gene-LOC100304252	5333	2502	2410	4219	1787	5804	1555	2086	898	3749	2136	3078	2287	2049	5320	4318	836	1516	1682	326	2579	970	3325	1318
gene-LOC103630688	309	143	148	239	94	379	72	44	59	217	103	112	87	54	282	31	18	19	99	15	16	0	187	21
gene-LOC100279759	10184	3556	3716	8047	3483	11499	2347	3115	1892	8224	5092	8509	3590	3613	12301	5576	1127	2560	2628	736	4179	1023	1911	1512
gene-TRNAT-UGU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100192479	3973	1429	1884	6619	4175	13948	992	1113	632	3878	1757	3170	1984	1744	2503	2582	326	960	2253	539	4309	379	185	280
gene-LOC100285339	0	0	0	118	65	153	4	0	0	3	0	4	0	0	0	0	0	0	0	8	0	0	0	0
gene-LOC107403162	1	2	2	135	109	87	0	0	7	10	0	0	2	0	4	2	43	0	201	74	426	1	0	14
gene-LOC100280063	3438	1914	2356	2774	2145	5446	1644	790	844	4783	2524	3979	3107	3379	5460	2836	491	1317	1698	436	1881	737	1288	627
gene-LOC118473258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630728	2711	1025	1529	1997	1097	4139	725	929	670	2499	1671	3262	1895	1712	3803	2048	278	621	1019	294	1916	504	1687	325
gene-LOC103644381	0	0	0	0	0	0	0	23	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630746	4608	1628	1998	3059	1263	4555	1466	1425	754	4114	1689	2980	2459	2303	4859	4833	2121	1099	1766	346	1738	1282	2364	2165
gene-LOC107548113	122	155	188	114	152	254	50	52	39	830	186	201	121	111	292	190	52	44	37	10	6	12	189	3
gene-LOC100282726	3591	1398	1023	2170	797	1229	1090	1130	658	986	507	642	550	305	1226	1088	247	661	443	148	774	201	412	299
gene-LOC100285555	4617	2025	2446	3578	2489	6894	1434	918	975	4790	1759	2500	2006	2103	4669	2199	612	1009	1757	285	1499	380	1574	1003
gene-LOC100283968	122	55	46	70	44	54	43	58	46	67	33	32	28	21	66	98	20	14	16	1	7	30	52	33
gene-LOC100285519	12761	5030	4966	10787	2926	5578	3245	4397	2588	4592	996	1607	1186	685	3217	6807	1909	3833	980	872	5643	1594	7745	3173
gene-LOC100285493	95	33	27	98	50	102	23	28	41	60	41	42	23	8	49	26	0	18	0	12	100	2	11	1
gene-LOC100272424	5862	2326	3793	3166	1749	5145	1466	1725	1248	4778	2205	3859	3327	2181	4598	5198	1120	3736	857	326	1965	1222	3245	1155
gene-LOC103630760	10268	5184	3330	5771	2980	7193	2993	2714	1789	5093	1120	1957	1371	1229	3218	5664	1839	2491	1349	658	3932	922	2627	1821
gene-LOC100284135	1085	1240	727	643	965	1591	722	218	494	258	198	381	340	280	741	1937	415	1085	655	171	1005	293	979	660
gene-LOC100381824	3128	1156	1323	2668	889	3201	750	1071	567	2028	761	1108	662	525	2356	1454	422	552	444	240	1407	393	806	535
gene-LOC103630770	0	1	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
gene-LOC100501901	338	220	170	538	149	332	135	109	79	183	53	83	47	25	150	172	121	129	35	43	147	54	379	150
gene-LOC103630811	521	216	214	428	187	1103	166	132	120	422	230	437	238	232	561	211	30	105	143	50	130	14	54	165
gene-LOC103644382	28	14	18	18	6	12	35	52	9	15	15	19	8	17	72	34	0	8	0	0	0	0	0	0
gene-LOC100281552	878	244	217	505	339	729	208	394	111	547	280	536	308	309	993	353	41	147	205	89	304	77	343	168
gene-LOC100277985	490	147	69	261	58	347	113	93	92	193	150	188	98	86	353	107	72	98	84	46	67	85	67	143
gene-LOC100285880	48	40	26	16	41	54	0	0	2	20	9	4	12	6	16	113	9	81	0	0	0	0	1	4
gene-LOC103630827	3815	2118	1932	1669	1151	4718	1397	773	824	2906	1595	2944	1541	1667	4587	3255	959	2270	1036	241	1914	630	899	823
gene-LOC111590675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC111590669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC111590670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100283507	42	33	77	28	119	225	32	6	63	16	14	71	12	10	55	0	0	0	0	0	2	0	14	0
gene-LOC100283343	5196	1741	2113	3348	1776	3619	1441	1975	903	1864	1032	1480	911	833	2748	2890	928	1833	1148	387	2718	671	1951	1156
gene-LOC100286177	482	152	127	391	183	473	181	236	108	226	60	88	65	64	223	312	87	15	0	28	0	37	208	191
gene-LOC100274439	1694	708	706	2021	1003	2453	613	691	507	1071	645	877	599	449	1786	818	171	622	535	108	979	81	543	261
gene-LOC100284607	8	6	2	47	8	41	12	47	2	31	6	4	0	10	16	16	0	0	0	0	0	0	0	0
gene-LOC103630838	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630849	167	45	72	214	55	126	50	54	48	115	27	51	12	20	63	100	4	14	0	8	40	2	27	57
gene-LOC100286006	203	122	105	249	128	252	100	109	80	235	110	110	119	44	261	91	14	54	0	2	14	22	129	64
gene-LOC100191772	901	291	311	373	262	715	192	328	160	629	147	258	112	77	413	255	91	187	73	33	49	30	217	293
gene-LOC100283976	2021	873	1139	2306	836	1771	734	1092	915	2056	635	960	831	505	1280	1769	453	1234	233	199	1050	451	958	605
gene-LOC100277385	1206	372	480	404	205	802	360	625	287	1056	546	903	494	481	1009	76	0	85	3	1	2	70	46	73
gene-LOC103644384	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100192905	22	10	10	4	11	11	12	1	9	42	8	26	10	4	29	43	0	35	1	3	2	2	32	63
gene-LOC100278238	41	36	20	94	100	110	30	57	13	29	23	38	20	9	69	53	0	24	40	11	12	0	1	0
gene-LOC100381530	24887	9656	7555	11234	6113	15212	6133	6336	3346	9143	6622	10555	7598	6792	16757	12511	2619	4957	4721	1309	6056	2186	4198	2293
gene-LOC542270	4515	2564	2252	3467	1923	5614	1703	1597	1273	5709	3020	5573	2148	2442	6477	2087	632	839	331	164	1176	274	1414	329
gene-LOC100274414	2505	1225	1637	1959	1432	4783	865	596	745	2467	1130	1539	1265	1055	2588	1322	166	723	768	163	1214	199	1119	625
gene-LOC100284098	2840	1434	1067	3100	1099	1819	1160	1151	413	1436	413	544	501	336	2375	649	263	282	261	50	529	112	248	186
gene-LOC103630860	2280	797	712	1419	951	3257	617	365	316	2160	1652	3082	1536	1825	4483	2456	453	690	1108	99	1298	335	787	499
gene-LOC103641453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100384769	6659	2328	3214	4311	1530	4482	1075	1963	992	3722	1695	2712	1590	1458	3372	2195	824	1387	354	131	593	691	2070	782
gene-LOC100276840	603	470	407	357	279	1069	233	137	236	942	825	1203	637	479	1193	583	456	398	386	75	163	170	76	301
gene-LOC103630932	3884	2116	2137	4045	1667	6904	1383	1491	1002	3736	2311	3800	1609	2060	5188	2768	1531	880	1161	282	2070	491	783	972
gene-LOC109942737	1	3	0	1	0	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0
gene-LOC103630917	0	0	0	2	0	4	0	0	0	2	2	0	1	0	0	0	0	0	0	0	8	0	0	0
gene-LOC100274260	4090	1915	2232	6998	3311	8736	2536	2348	1410	8916	2617	3195	2330	2244	7321	6083	1591	1890	1608	722	3032	1041	3236	2195
gene-LOC100194239	17999	5950	5506	12459	5090	12127	3431	4551	2706	6434	3700	5539	4065	3520	10433	6461	1797	3419	2529	678	3327	1075	4262	2104
gene-LOC103630952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103644387	16842	8188	9368	12136	7285	30980	5653	5626	4202	15133	6949	11942	5275	6540	20559	7730	1211	4113	2990	1200	5852	1615	3297	2306
gene-LOC100381604	676	263	292	528	111	742	124	300	163	439	245	242	148	95	453	171	53	83	187	26	70	29	114	46
gene-LOC103631010	18423	9312	11648	21248	10806	15331	7304	6147	3808	11113	3251	6625	6393	3592	8604	17098	4898	7807	6217	2378	17526	2316	7922	4140
gene-LOC103630963	32	22	13	3	22	156	27	6	13	24	12	51	15	12	54	0	0	0	0	0	0	0	0	0
gene-TRNAK-UUU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100274636	754	265	330	601	186	459	164	274	134	189	99	113	121	98	209	275	79	64	2	45	232	52	148	71
gene-LOC103631020	1	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
gene-LOC100193072	78	107	87	292	130	193	94	32	41	106	62	99	61	51	175	88	0	12	2	29	194	33	197	124
gene-LOC100272698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100501751	621	264	404	1562	575	1072	208	219	136	341	138	215	123	103	423	500	16	166	90	75	590	30	39	147
gene-LOC100282187	464	392	342	1090	975	1044	377	155	209	230	121	193	192	119	362	212	60	19	113	25	80	5	93	22
gene-LOC103631056	0	0	0	62	27	69	40	28	10	2	0	0	2	0	16	0	0	6	61	40	204	0	38	32
gene-LOC103631065	0	0	0	0	0	1	0	0	2	2	4	0	0	0	2	0	0	1	0	0	0	0	0	1
gene-LOC100191905	163	119	105	413	217	788	342	123	230	394	201	435	314	106	568	50	23	26	462	140	1231	302	718	259
gene-LOC100381417	9090	2200	2383	4239	1018	6557	934	1868	833	9227	5396	11066	7167	6000	12862	5878	2494	2684	1518	591	2894	2033	2587	1921
gene-LOC100217148	208	75	123	99	139	413	46	73	70	172	75	171	116	72	361	71	0	66	147	10	82	15	43	48
gene-LOC100285830	499	205	161	310	125	530	146	217	109	300	188	250	161	135	505	129	16	90	58	19	307	22	2	111
gene-LOC103631088	1230	1159	933	331	186	477	97	188	39	571	270	300	267	198	515	283	3	17	1	0	0	0	1	0
gene-LOC103631105	73	26	37	2	0	1	0	2	0	7	14	6	2	0	14	0	0	4	0	0	0	0	0	0
gene-LOC100285173	3150	1074	1522	1807	518	2245	462	1034	559	1895	672	1016	402	505	1578	947	222	541	184	32	271	213	485	429
gene-LOC100281199	2208	1323	1511	1677	927	2627	997	415	1062	2726	1381	2240	1458	883	2310	1881	325	593	521	106	1098	68	1242	143
gene-LOC118473274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103631133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC100279630	349	242	483	304	236	858	102	105	86	461	276	411	362	343	720	262	74	151	1	4	55	68	18	65
gene-LOC103631144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103644389	0	0	0	0	2	4	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0
gene-LOC109943584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100283731	8299	2480	3205	7470	3443	8243	2160	2855	1525	4296	1848	3473	2131	1944	5513	2755	836	1550	1149	524	3532	590	2265	1615
gene-LOC103631168	0	0	0	0	0	0	0	0	2	0	0	0	2	4	30	0	0	0	0	0	0	0	0	0
gene-LOC100284869	7354	4117	3558	4390	2316	5072	2173	2160	1147	2713	1052	1392	1102	903	3070	4437	507	1856	1187	317	2198	676	1901	1217
gene-LOC103631177	3486	1238	1253	2523	1773	4700	918	1393	706	2229	997	1527	983	1190	3094	2125	605	834	914	224	1982	396	833	664
gene-LOC100284049	15	2	23	0	4	94	15	1	11	0	0	8	4	0	20	0	0	0	0	0	0	0	0	0
gene-LOC111590576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100381575	84	49	61	169	41	94	41	44	27	61	21	29	19	17	56	95	20	57	210	12	36	2	45	55
gene-LOC100216915	282	56	124	104	75	106	56	23	55	110	49	52	35	55	108	74	13	18	1	20	7	14	43	25
gene-LOC111590719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100281788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100383535	191	51	136	218	53	119	18	26	16	177	39	61	84	11	83	7	0	2	0	0	0	0	0	11
gene-LOC100272871	2056	848	1060	1434	657	4108	618	944	512	2628	1989	2634	1048	1328	4051	1394	880	501	718	172	615	276	426	328
gene-LOC103631208	378	182	233	997	275	700	155	98	134	106	18	60	21	27	126	19	0	2	0	0	18	0	0	0
gene-LOC100284735	44	34	18	930	162	491	15	39	18	68	27	21	3	8	32	6	1	0	27	12	127	1	0	4
gene-LOC100281329	1423	694	643	1964	472	1033	433	738	365	534	205	321	159	109	473	316	87	127	89	53	308	69	275	157
gene-LOC103631225	29	20	8	25	34	67	17	14	14	47	9	20	8	6	52	13	2	0	0	10	39	40	101	113
gene-IDP755	12520	5280	5253	7971	2681	9743	2576	2946	2220	4604	2979	4540	3235	2623	7354	7007	1241	3704	3075	813	5854	2041	3393	1846
gene-LOC100194359	6427	3502	5475	5939	3568	12660	2756	3532	1543	7511	3030	5643	3805	3726	7536	4886	787	1753	2940	693	3794	1003	2644	1387
gene-LOC100281469	594	400	259	845	305	894	211	358	140	399	379	419	217	186	843	97	18	45	59	28	359	18	166	147
gene-LOC103631233	121	178	194	179	141	437	115	116	72	228	117	157	142	78	398	254	26	88	57	43	134	54	302	140
gene-LOC100274981	370	184	239	630	163	625	309	136	204	348	215	323	267	243	394	54	57	21	0	26	136	101	147	83
gene-LOC100278223	9	12	8	16	25	41	35	7	14	57	27	19	10	16	32	12	0	2	0	4	10	0	9	14
gene-LOC100285198	7337	3110	3153	4064	1948	6248	1916	2476	1381	4241	2395	5128	2330	2630	5724	2749	355	1009	1228	285	1477	341	1823	705
gene-LOC100277948	66	36	28	50	22	123	10	27	16	70	37	64	32	26	111	12	0	0	0	4	0	6	0	0
gene-LOC100280487	26	31	18	21	26	84	25	2	23	32	19	16	14	22	44	4	0	0	0	0	0	0	0	0
gene-LOC107403160	4	7	5	2	11	9	0	0	0	0	2	0	0	0	2	1	0	1	1	0	148	0	1	7
gene-LOC100381968	118	70	88	129	48	124	97	41	25	82	73	112	51	23	153	2	29	3	0	2	67	27	0	0
gene-LOC100273445	0	4	0	10	3	0	0	2	0	1	2	0	0	0	8	0	0	0	0	0	0	0	0	0
gene-LOC100304120	115	31	66	22	67	117	28	26	49	97	24	64	24	22	121	34	0	0	0	23	52	0	0	0
gene-LOC100280955	2153	895	594	1702	997	2035	685	695	418	1146	471	717	298	361	1625	1124	480	195	527	153	831	123	232	248
gene-LOC100383060	122	139	145	113	126	682	177	30	96	234	109	212	245	168	371	1	37	1	36	1	50	0	0	0
gene-LOC100285852	2978	1063	1652	3484	1181	4143	980	774	596	2361	1386	2134	1271	1304	3425	2063	483	1168	417	263	1643	271	554	460
gene-LOC100285278	1070	335	427	1008	397	868	300	382	229	270	146	169	105	42	290	99	7	21	0	83	244	39	76	20
gene-LOC103631242	5651	2244	3007	3937	1959	7800	1267	1992	1256	5447	1689	2350	1411	1274	4105	2753	2205	1312	760	388	1879	338	1467	1451
gene-LOC103631259	512	198	176	435	192	565	105	121	70	412	288	337	186	162	430	469	19	189	147	44	64	33	424	364
gene-TRNAN-GUU-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100280898	906	407	420	479	305	1185	265	154	231	847	356	691	335	282	1135	575	228	269	198	74	534	44	359	169
gene-LOC103644392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100284305	57407	27530	25664	31713	17795	51228	18708	18255	10794	42904	23100	34157	26616	20583	57527	40340	12622	18339	10179	3774	23567	8005	17825	14010
gene-LOC109942738	745	465	313	1091	415	1628	259	450	294	766	526	746	334	390	1297	427	107	212	282	75	509	99	325	198
gene-LOC100383093	694	799	435	290	595	821	802	221	198	292	190	246	537	241	555	983	366	701	151	14	144	120	868	314
gene-LOC100502361	228	138	112	121	79	764	124	92	158	225	142	319	262	207	956	7	0	22	2	0	2	0	171	3
gene-LOC103631359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103644394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103631379	5403	4417	1995	2325	2195	3053	2993	1563	1258	3135	1988	2420	1793	1339	4800	4588	2538	3453	1711	308	2578	658	3912	1448
gene-LOC100276168	1900	939	925	1527	749	1601	664	788	486	1452	894	948	1338	635	1652	998	306	826	252	87	1119	263	860	381
gene-LOC100382167	11955	4451	4894	7856	3263	10672	2945	4321	1823	4828	2634	3700	1983	2203	6634	5196	1160	2173	1584	688	4162	1337	1469	1635
gene-LOC100383301	145	55	32	59	62	181	24	16	44	254	210	267	124	107	478	68	5	9	0	5	80	5	75	9
gene-LOC107546779	267	99	213	178	136	418	137	85	63	263	134	295	148	127	178	158	45	78	61	9	77	51	110	103
gene-LOC100192077	1181	602	707	385	250	665	484	453	482	565	274	260	179	218	579	208	104	115	236	55	93	153	283	435
gene-LOC100285254	11017	4659	4757	8251	3206	9436	2762	3617	2284	4226	2439	3935	2309	1729	5975	4860	1942	3467	3136	749	3259	1566	3331	1586
